GPS TOW,PRN,Freq,PrimSig,SigType,Azimuth,Elevation,SecSig Lock Time,SecSig CNo,TEC15,TECRate15,TEC30,TECRate30,TEC45,TECRate45,TECTOW,TECRateTOW
 523920.00, 1, 0, 1, 4, 304.064667, 16.377377, 808.159973, 37.052, 27.116388, -0.026676, 27.196131,0.079741, 27.215590, 0.019460, 27.199791, -0.015799 
 523920.00, 1, 0, 1, 7, 304.064667, 16.377377, 813.590027, 45.083, -1.096274, -0.026867, -0.996275,0.099999, -0.942851, 0.053424, -0.439510, -0.024778 
 523980.00, 1, 0, 1, 4, 303.636719, 16.486732, 868.159973, 36.634, 24.833378, 0.033127, 24.936911,0.103533, 24.999981, 0.063071, 25.039419, 0.039438 
 523980.00, 1, 0, 1, 7, 303.636719, 16.486732, 873.590027, 45.376, -0.371413, 0.068097, -0.368040,0.003373, -0.264897, 0.103143, -0.514353, 0.051570 
 524040.00, 1, 0, 1, 4, 303.206787, 16.592154, 928.159973, 35.576, 21.699223, -0.033588, 21.736025,0.036803, 21.737190, 0.001165, 21.745035, 0.007845 
 524040.00, 1, 0, 1, 7, 303.206787, 16.592154, 933.590027, 45.902, -0.512604, 0.001749, -0.480195,0.032409, -0.450917, 0.029279, -0.458291, -0.007374 
 524100.00, 1, 0, 1, 4, 302.776093, 16.694080, 988.159973, 34.586, 17.775841, 0.001747, 17.814642,0.038800, 17.836847, 0.022206, 17.810820, -0.026027 
 524100.00, 1, 0, 1, 7, 302.776093, 16.694080, 993.590027, 46.650, -0.914382, 0.074122, -0.892049,0.022333, -0.845227, 0.046822, -0.860584, -0.015357 
 524160.00, 1, 0, 1, 4, 302.338470, 16.792282, 1048.160034, 37.109, 13.817028, 0.014461, 13.830455,0.013427, 13.872923, 0.042468, 13.848906, -0.024017 
 524160.00, 1, 0, 1, 7, 302.338470, 16.792282, 1053.589966, 47.338, -1.457770, 0.032314, -1.459868,-0.002098, -1.402766, 0.057102, -1.430149, -0.027383 
 524220.00, 1, 0, 1, 4, 301.906250, 16.884903, 1108.160034, 40.514, 11.315735, 0.021044, 11.327107,0.011373, 11.376672, 0.049564, 11.410231, 0.033559 
 524220.00, 1, 0, 1, 7, 301.906250, 16.884903, 1113.589966, 47.339, -1.388101, 0.096941, -1.385789,0.002312, -1.346938, 0.038851, -1.324351, 0.022587 
 524280.00, 1, 0, 1, 4, 301.468628, 16.974325, 1168.160034, 39.053, 10.065125, -0.007623, 10.121345,0.056219, 10.153722, 0.032377, 10.074227, -0.079494 
 524280.00, 1, 0, 1, 7, 301.468628, 16.974325, 1173.589966, 47.163, -0.909983, 0.028269, -0.862529,0.047454, -0.841454, 0.021074, -0.921722, -0.080267 
 524340.00, 1, 0, 1, 4, 301.029266, 17.059744, 1228.160034, 40.448, 9.499331, 0.082517, 9.512084,0.012753, 9.528283, 0.016199, 9.533754, 0.005471 
 524340.00, 1, 0, 1, 7, 301.029266, 17.059744, 1233.589966, 47.026, -0.550785, 0.036181, -0.543000,0.007785, -0.512276, 0.030724, -0.519453, -0.007177 
 524400.00, 1, 0, 1, 4, 300.588196, 17.141144, 1288.160034, 39.275, 9.530219, -0.070708, 9.578594,0.048375, 9.565434, -0.013159, 9.535478, -0.029957 
 524400.00, 1, 0, 1, 7, 300.588196, 17.141144, 1293.589966, 47.421, -0.796116, -0.051517, -0.792650,0.003465, -0.780911, 0.011740, -0.851878, -0.070968 
 524460.00, 1, 0, 1, 4, 300.141846, 17.219145, 1348.160034, 38.455, 10.075702, 0.004918, 10.064299,-0.011403, 9.997243, -0.067056, 10.025444, 0.028201 
 524460.00, 1, 0, 1, 7, 300.141846, 17.219145, 1353.589966, 48.045, -0.940572, 0.012839, -0.940382,0.000190, -0.974491, -0.034109, -1.010231, -0.035740 
 524520.00, 1, 0, 1, 4, 299.701324, 17.291853, 1408.160034, 37.187, 10.168709, -0.057723, 10.167702,-0.001007, 10.120642, -0.047060, 10.036278, -0.084364 
 524520.00, 1, 0, 1, 7, 299.701324, 17.291853, 1413.589966, 47.469, -0.719938, -0.024079, -0.774795,-0.054857, -0.756514, 0.018282, -0.838273, -0.081759 
 524580.00, 1, 0, 1, 4, 299.255585, 17.361155, 1468.160034, 38.743, 10.054886, 0.045062, 10.037683,-0.017204, 9.938334, -0.099347, 10.000700, 0.062366 
 524580.00, 1, 0, 1, 7, 299.255585, 17.361155, 1473.589966, 47.496, -0.301911, 0.024753, -0.298639,0.003272, -0.404730, -0.106091, -0.352521, 0.052209 
 524640.00, 1, 0, 1, 4, 298.808411, 17.426414, 1528.160034, 38.026, 9.795019, 0.003567, 9.730822,-0.064198, 9.738408, 0.007586, 9.777388, 0.038979 
 524640.00, 1, 0, 1, 7, 298.808411, 17.426414, 1533.589966, 47.132, 0.151026, 0.030886, 0.101883,-0.049144, 0.088296, -0.013587, 0.088698, 0.000402 
 524700.00, 1, 0, 1, 4, 298.359863, 17.487629, 1588.160034, 39.294, 9.692049, -0.085339, 9.518511,0.009908, 9.450515, -0.067996, 9.446090, -0.004425 
 524700.00, 1, 0, 1, 7, 298.359863, 17.487629, 1593.589966, 47.039, 0.277861, -0.039266, 0.232333,-0.045527, 0.201250, -0.031084, 0.175238, -0.026012 
 524760.00, 1, 0, 1, 4, 297.906250, 17.545250, 1648.160034, 38.620, 9.433237, -0.012853, 9.387100,0.006133, 9.346307, -0.040793, 9.322509, -0.023798 
 524760.00, 1, 0, 1, 7, 297.906250, 17.545250, 1653.589966, 46.805, -0.044085, -0.022686, -0.050164,-0.006079, -0.118563, -0.068400, -0.109340, 0.009223 
 524820.00, 1, 0, 1, 4, 297.459991, 17.598684, 1708.160034, 36.952, 9.351455, 0.028945, 9.536422,-0.007062, 9.540035, 0.003613, 9.539700, -0.000335 
 524820.00, 1, 0, 1, 7, 297.459991, 17.598684, 1713.589966, 47.138, -0.412955, -0.001303, -0.446954,-0.033999, -0.450562, -0.003608, -0.439448, 0.011114 
 524880.00, 1, 0, 1, 4, 297.007507, 17.647623, 1768.160034, 34.558, 9.512444, -0.027255, 9.500343,0.111561, 9.535615, 0.035272, 9.548990, 0.013375 
 524880.00, 1, 0, 1, 7, 297.007507, 17.647623, 1773.589966, 47.332, -0.419726, -0.092102, -0.274020,0.145706, -0.297673, -0.023653, -0.258910, 0.038763 
 524940.00, 1, 0, 1, 4, 296.553894, 17.692492, 1828.160034, 36.105, 9.528820, -0.020170, 8.877232,0.029223, 8.886969, 0.009737, 8.963246, 0.076278 
 524940.00, 1, 0, 1, 7, 296.553894, 17.692492, 1833.589966, 46.960, 0.273205, -0.031105, 0.283127,0.009921, 0.316399, 0.033272, 0.354791, 0.038392 
 525000.00, 1, 0, 1, 4, 296.099182, 17.733337, 1888.160034, 36.835, 8.974076, 0.010829, 8.028352,-0.049999, 8.084584, 0.056232, 8.123842, 0.039258 
 525000.00, 1, 0, 1, 7, 296.099182, 17.733337, 1893.589966, 46.933, 0.395776, 0.040984, 1.029824,0.013919, 1.075509, 0.045685, 1.130206, 0.054697 
 525060.00, 1, 0, 1, 4, 295.643494, 17.770142, 1948.160034, 35.298, 8.123331, -0.000512, 7.159556,0.004542, 7.138840, -0.020717, 7.113702, -0.025138 
 525060.00, 1, 0, 1, 7, 295.643494, 17.770142, 1953.589966, 47.141, 1.115932, -0.014273, 1.841164,0.094629, 1.836198, -0.004966, 1.880202, 0.044004 
 525120.00, 1, 0, 1, 4, 295.186829, 17.802906, 2008.160034, 37.111, 7.146384, 0.032682, 6.430151,-0.036785, 6.524828, 0.094678, 6.508605, -0.016223 
 525120.00, 1, 0, 1, 7, 295.186829, 17.802906, 2013.589966, 47.176, 1.884782, 0.004580, 2.654573,0.000845, 2.700351, 0.045778, 2.736184, 0.035832 
 525180.00, 1, 0, 1, 4, 294.729248, 17.831642, 2068.159912, 37.152, 6.572052, 0.063448, 6.307050,-0.006586, 6.359313, 0.052263, 6.368432, 0.009120 
 525180.00, 1, 0, 1, 7, 294.729248, 17.831642, 2073.590088, 47.125, 2.803659, 0.067475, 3.590878,-0.020161, 3.679097, 0.088220, 3.649423, -0.029675 
 525240.00, 1, 0, 1, 4, 294.270874, 17.856348, 2128.159912, 37.299, 6.435463, 0.067032, 6.325336,0.037082, 6.381302, 0.055967, 6.393641, 0.012339 
 525240.00, 1, 0, 1, 7, 294.270874, 17.856348, 2133.590088, 46.159, 3.663716, 0.014293, 4.373140,0.027373, 4.421757, 0.048617, 4.404098, -0.017659 
 525300.00, 1, 0, 1, 4, 293.811737, 17.877037, 2188.159912, 37.555, 6.499454, 0.105813, 6.354664,-0.024120, 6.509655, 0.154990, 6.564414, 0.054759 
 525300.00, 1, 0, 1, 7, 293.811737, 17.877037, 2193.590088, 45.406, 4.536507, 0.132409, 4.792650,-0.009635, 4.930369, 0.137719, 4.942610, 0.012240 
 525360.00, 1, 0, 1, 4, 293.348022, 17.893839, 2248.159912, 37.100, 6.607856, 0.043443, 6.653242,0.019795, 6.686368, 0.033126, 6.708865, 0.022497 
 525360.00, 1, 0, 1, 7, 293.348022, 17.893839, 2253.590088, 45.625, 5.025842, 0.083232, 4.681368,-0.017228, 4.719896, 0.038528, 4.717637, -0.002259 
 525420.00, 1, 0, 1, 4, 292.891357, 17.906404, 2308.159912, 40.578, 6.750586, 0.041721, 6.739316,-0.034396, 6.855703, 0.116387, 6.908798, 0.053095 
 525420.00, 1, 0, 1, 7, 292.891357, 17.906404, 2313.590088, 46.163, 4.778109, 0.060472, 3.921940,-0.005054, 3.978529, 0.056589, 4.025648, 0.047119 
 525480.00, 1, 0, 1, 4, 292.430237, 17.915117, 2368.159912, 36.635, 6.890632, -0.018167, 7.100632,0.081766, 7.196131, 0.095499, 7.294882, 0.098751 
 525480.00, 1, 0, 1, 7, 292.430237, 17.915117, 2373.590088, 47.047, 4.034356, 0.008708, 3.202385,0.027998, 3.279928, 0.077542, 3.333043, 0.053116 
 525540.00, 1, 0, 1, 4, 291.968628, 17.919872, 2428.159912, 36.595, 7.359955, 0.065074, 7.740007,0.062437, 7.831180, 0.091173, 7.865410, 0.034230 
 525540.00, 1, 0, 1, 7, 291.968628, 17.919872, 2433.590088, 46.871, 3.401722, 0.068679, 3.387953,0.095840, 3.418513, 0.030561, 3.496897, 0.078384 
 525600.00, 1, 0, 1, 4, 291.507324, 17.921608, 2488.159912, 37.213, 7.912915, 0.047505, 7.992657,0.079741, 7.822867, -0.028065, 7.942575, 0.119708 
 525600.00, 1, 0, 1, 7, 291.507324, 17.921608, 2493.590088, 46.254, 3.500594, 0.003697, 4.202904,0.156008, 4.169934, -0.032970, 4.248982, 0.079048 
 525660.00, 1, 0, 1, 4, 291.040863, 17.918259, 2548.159912, 37.636, 7.848140, -0.094436, 7.860152,0.012012, 7.669658, 0.048690, 7.618893, -0.050765 
 525660.00, 1, 0, 1, 7, 291.040863, 17.918259, 2553.590088, 47.619, 4.237465, -0.011517, 4.872973,0.026234, 4.995591, 0.122618, 4.975737, -0.019854 
 525720.00, 1, 0, 1, 4, 290.581757, 17.911072, 2608.159912, 40.247, 7.612103, -0.006790, 7.589643,-0.022460, 7.267329, 0.060112, 7.342371, 0.075042 
 525720.00, 1, 0, 1, 7, 290.581757, 17.911072, 2613.590088, 48.610, 4.999397, 0.023661, 5.299350,0.041812, 5.325560, 0.026209, 5.369444, 0.043885 
 525780.00, 1, 0, 1, 4, 290.118500, 17.899940, 2668.159912, 38.905, 7.376003, 0.033632, 7.461118,0.085115, 7.262208, 0.030939, 7.256867, -0.005341 
 525780.00, 1, 0, 1, 7, 290.118500, 17.899940, 2673.590088, 49.223, 5.387721, 0.018276, 5.462882,0.084244, 5.467357, 0.004475, 5.518769, 0.051412 
 525840.00, 1, 0, 1, 4, 289.654999, 17.884928, 2728.159912, 38.224, 7.303743, 0.046876, 7.373714,0.069971, 6.918604, -0.031415, 7.050707, 0.132103 
 525840.00, 1, 0, 1, 7, 289.654999, 17.884928, 2733.590088, 47.866, 5.549497, 0.030728, 5.539031,0.074289, 5.534698, -0.004334, 5.542837, 0.008139 
 525900.00, 1, 0, 1, 4, 289.191315, 17.866064, 2788.159912, 36.359, 7.074392, 0.023686, 7.125538,0.051145, 6.706707, 0.072912, 6.685156, -0.021551 
 525900.00, 1, 0, 1, 7, 289.191315, 17.866064, 2793.590088, 46.622, 5.565966, 0.023129, 5.588888,0.022922, 5.445322, 0.013544, 5.514983, 0.069660 
 525960.00, 1, 0, 1, 4, 288.723663, 17.843151, 2848.159912, 39.250, 6.754463, 0.069307, 6.830882,0.076420, 6.531631, 0.003849, 6.591221, 0.059590 
 525960.00, 1, 0, 1, 7, 288.723663, 17.843151, 2853.590088, 46.311, 5.552371, 0.037389, 5.624722,0.072351, 5.440045, -0.007667, 5.518325, 0.078280 
 526020.00, 1, 0, 1, 4, 288.263672, 17.816830, 2908.159912, 36.732, 6.620561, 0.029340, 6.710524,0.089962, 6.932738, 0.004738, 6.902897, -0.029841 
 526020.00, 1, 0, 1, 7, 288.263672, 17.816830, 2913.590088, 46.162, 5.538391, 0.020066, 5.618567,0.080176, 5.677818, 0.016439, 5.644335, -0.033483 
 526080.00, 1, 0, 1, 4, 287.799835, 17.786501, 2968.159912, 35.651, 6.914763, 0.011866, 6.904582,-0.010182, 6.818469, 0.003407, 6.878957, 0.060489 
 526080.00, 1, 0, 1, 7, 287.799835, 17.786501, 2973.590088, 46.572, 5.684083, 0.039748, 5.626266,-0.057817, 5.616387, -0.024202, 5.642115, 0.025728 
 526140.00, 1, 0, 1, 4, 287.335999, 17.752405, 3028.159912, 36.792, 6.811242, -0.067715, 6.871355,0.060113, 6.602897, 0.053185, 6.660637, 0.057740 
 526140.00, 1, 0, 1, 7, 287.335999, 17.752405, 3033.590088, 46.129, 5.652431, 0.010315, 5.694296,0.041866, 5.983232, 0.071736, 5.980906, -0.002326 
 526200.00, 1, 0, 1, 4, 286.872284, 17.714569, 3088.159912, 38.481, 6.669775, 0.009138, 6.711676,0.041901, 6.300009, 0.035422, 6.221690, -0.078319 
 526200.00, 1, 0, 1, 7, 286.872284, 17.714569, 3093.590088, 45.826, 5.985111, 0.004205, 6.052495,0.067384, 6.110843, -0.019924, 6.126664, 0.015822 
 526260.00, 1, 0, 1, 4, 286.408722, 17.673019, 3148.159912, 39.164, 6.190229, -0.031461, 6.185194,-0.005035, 5.575439, -0.121098, 5.517935, -0.057504 
 526260.00, 1, 0, 1, 7, 286.408722, 17.673019, 3153.590088, 47.216, 6.102323, -0.024342, 6.129587,0.027265, 5.759378, -0.056268, 5.699444, -0.059934 
 526320.00, 1, 0, 1, 4, 285.945953, 17.628962, 3208.159912, 38.570, 5.504611, -0.013324, 5.493148,-0.011464, 5.418160, -0.004362, 5.488207, 0.070046 
 526320.00, 1, 0, 1, 7, 285.945953, 17.628962, 3213.590088, 47.608, 5.764891, 0.065446, 5.724550,-0.040340, 5.487103, -0.031193, 5.532163, 0.045060 
 526380.00, 1, 0, 1, 4, 285.482758, 17.579889, 3268.159912, 35.904, 5.488002, -0.000205, 5.386502,-0.101500, 5.755070, 0.158237, 5.793107, 0.038037 
 526380.00, 1, 0, 1, 7, 285.482758, 17.579889, 3273.590088, 47.054, 5.510697, -0.021466, 5.452121,-0.058577, 5.412813, 0.064012, 5.364674, -0.048140 
 526440.00, 1, 0, 1, 4, 285.019867, 17.527178, 3328.159912, 38.471, 5.702938, -0.090169, 5.717074,0.014136, 5.786866, 0.006508, 5.772387, -0.014479 
 526440.00, 1, 0, 1, 7, 285.019867, 17.527178, 3333.590088, 47.199, 5.303361, -0.061312, 5.271408,-0.031953, 5.166785, -0.033465, 5.211456, 0.044671 
 526500.00, 1, 0, 1, 4, 284.557343, 17.470861, 3388.159912, 38.341, 5.771629, -0.000758, 5.744400,-0.027229, 5.715984, -0.028415, 5.655969, 0.001794 
 526500.00, 1, 0, 1, 7, 284.557343, 17.470861, 3393.590088, 47.430, 5.169839, -0.041617, 5.192326,0.022486, 5.326832, 0.047401, 5.324383, -0.002449 
 526560.00, 1, 0, 1, 4, 284.091370, 17.410467, 3448.159912, 39.045, 5.567367, -0.088602, 5.542696,-0.024671, 5.539313, -0.003383, 5.353422, -0.007940 
 526560.00, 1, 0, 1, 7, 284.091370, 17.410467, 3453.590088, 48.055, 5.294385, -0.029998, 5.312685,0.018300, 5.355803, 0.018885, 5.329669, -0.026134 
 526620.00, 1, 0, 1, 4, 283.633514, 17.347580, 3508.159912, 38.047, 5.334879, -0.018542, 5.416402,0.081523, 5.392249, -0.024153, 5.624833, 0.023225 
 526620.00, 1, 0, 1, 7, 283.633514, 17.347580, 3513.590088, 48.179, 5.305903, -0.023765, 5.390882,0.084979, 5.702703, -0.055700, 5.716070, 0.013367 
 526680.00, 1, 0, 1, 4, 283.172302, 17.280676, 3568.159912, 38.777, 5.673092, 0.048259, 5.688228,0.015137, 5.695459, 0.007230, 5.943945, -0.013933 
 526680.00, 1, 0, 1, 7, 283.172302, 17.280676, 3573.590088, 48.034, 5.668434, -0.047636, 5.661607,-0.006827, 5.992882, -0.007325, 5.974106, -0.018776 
 526740.00, 1, 0, 1, 4, 282.711639, 17.210291, 3628.159912, 38.861, 5.917799, -0.026146, 5.879413,-0.038386, 5.880486, 0.001073, 5.842954, -0.000923 
 526740.00, 1, 0, 1, 7, 282.711639, 17.210291, 3633.590088, 48.342, 5.946684, -0.027422, 5.953596,0.006912, 6.162501, 0.039614, 6.190825, 0.028324 
 526800.00, 1, 0, 1, 4, 282.251556, 17.136486, 3688.159912, 38.430, 5.834660, -0.008294, 5.882192,0.047532, 5.838540, -0.043652, 5.886309, 0.082329 
 526800.00, 1, 0, 1, 7, 282.251556, 17.136486, 3693.590088, 47.533, 6.210752, 0.019927, 6.255622,0.044870, 6.254076, -0.001545, 6.356047, 0.020081 
 526860.00, 1, 0, 1, 4, 281.788269, 17.058620, 3748.159912, 39.090, 5.904899, 0.018590, 5.899417,-0.005482, 5.895969, -0.003449, 5.727191, -0.028382 
 526860.00, 1, 0, 1, 7, 281.788269, 17.058620, 3753.590088, 46.471, 6.378250, 0.022203, 6.372123,-0.006127, 6.349679, -0.022443, 6.012022, -0.021688 
 526920.00, 1, 0, 1, 4, 281.333313, 16.978716, 3808.159912, 38.716, 5.790461, 0.063270, 5.824494,0.034033, 5.796381, -0.028112, 5.795767, -0.006340 
 526920.00, 1, 0, 1, 7, 281.333313, 16.978716, 3813.590088, 47.707, 6.037285, 0.025263, 6.051865,0.014580, 6.052967, 0.001102, 5.914753, 0.010157 
 526980.00, 1, 0, 1, 4, 280.875214, 16.894827, 3868.159912, 38.498, 5.729297, -0.066470, 5.692531,-0.036766, 5.717513, 0.024981, 5.571888, -0.000621 
 526980.00, 1, 0, 1, 7, 280.875214, 16.894827, 3873.590088, 47.847, 5.844793, -0.069960, 5.859714,0.014921, 5.866110, 0.006396, 5.866734, 0.020240 
 527040.00, 1, 0, 1, 4, 280.383972, 16.802368, 3928.159912, 37.589, 5.591784, 0.019896, 5.633185,0.041401, 5.643885, 0.010700, 5.316479, 0.012585 
 527040.00, 1, 0, 1, 7, 280.383972, 16.802368, 3933.590088, 48.137, 5.871469, 0.004735, 5.899484,0.028016, 5.857306, -0.042178, 5.985597, 0.070626 
 527100.00, 1, 0, 1, 4, 279.961639, 16.718451, 3988.159912, 39.483, 5.341270, 0.024790, 5.407054,0.065784, 5.412321, 0.005267, 5.378530, 0.055655 
 527100.00, 1, 0, 1, 7, 279.961639, 16.718451, 3993.590088, 47.479, 5.985792, 0.000195, 6.003519,0.017727, 6.052989, 0.049470, 6.368616, 0.076422 
 527160.00, 1, 0, 1, 4, 279.502014, 16.623837, 4048.159912, 39.465, 5.318582, -0.059948, 5.323967,0.005385, 5.371145, 0.047178, 5.452044, 0.025382 
 527160.00, 1, 0, 1, 7, 279.502014, 16.623837, 4053.590088, 45.730, 6.335201, -0.033415, 6.371418,0.036217, 6.400706, 0.029289, 6.433305, 0.048945 
 527220.00, 1, 0, 1, 4, 279.050842, 16.527649, 4108.160156, 38.314, 5.465991, 0.013946, 5.467973,0.001982, 5.458979, -0.008993, 5.672430, 0.028423 
 527220.00, 1, 0, 1, 7, 279.050842, 16.527649, 4113.589844, 45.106, 6.415845, -0.017460, 6.394545,-0.021300, 6.406457, 0.011912, 6.253786, -0.001252 
 527280.00, 1, 0, 1, 4, 278.596771, 16.427532, 4168.160156, 35.364, 5.688278, 0.015848, 5.736402,0.048123, 5.722473, -0.013929, 5.426782, -0.028750 
 527280.00, 1, 0, 1, 7, 278.596771, 16.427532, 4173.589844, 47.434, 6.259667, 0.005881, 6.257853,-0.001814, 6.238894, -0.018959, 5.914162, -0.005003 
 527340.00, 1, 0, 1, 4, 278.143585, 16.324329, 4228.160156, 37.194, 5.418770, -0.008011, 5.375098,-0.043672, 5.354258, -0.020841, 5.005710, -0.007557 
 527340.00, 1, 0, 1, 7, 278.143585, 16.324329, 4233.589844, 48.474, 5.888094, -0.026068, 5.866575,-0.021518, 5.890895, 0.024320, 5.856248, 0.002151 
 527400.00, 1, 0, 1, 4, 277.691376, 16.218094, 4288.160156, 37.105, 5.026506, 0.020796, 4.979412,-0.047094, 4.954668, -0.024744, 4.949352, -0.005316 
 527400.00, 1, 0, 1, 7, 277.691376, 16.218094, 4293.589844, 47.193, 5.831439, -0.024810, 5.818982,-0.012456, 5.819705, 0.000723, 5.974547, -0.083192 
 527460.00, 1, 0, 1, 4, 277.240143, 16.108852, 4348.160156, 37.987, 4.724974, -0.076308, 4.734954,0.009980, 4.744526, 0.009573, 4.709176, -0.035351 
 527460.00, 1, 0, 1, 7, 277.240143, 16.108852, 4353.589844, 46.437, 5.941804, -0.032743, 5.934717,-0.007087, 5.951415, 0.016698, 6.042383, -0.016324 
 527520.00, 1, 0, 1, 4, 276.789886, 15.996670, 4408.160156, 38.471, 4.608344, 0.074436, 4.611087,0.002744, 4.615264, 0.004177, 4.639914, 0.024650 
 527520.00, 1, 0, 1, 7, 276.789886, 15.996670, 4413.589844, 46.079, 6.101019, 0.058637, 6.108410,0.007391, 6.111118, 0.002708, 6.389365, 0.019166 
 527580.00, 1, 0, 1, 4, 276.340668, 15.881560, 4468.160156, 36.758, 4.815249, -0.011736, 4.765752,-0.049497, 4.794636, 0.028883, 4.740793, -0.053843 
 527580.00, 1, 0, 1, 7, 276.340668, 15.881560, 4473.589844, 45.392, 6.395276, 0.005911, 6.330899,-0.064377, 6.335729, 0.004830, 6.244092, -0.016209 
 527640.00, 1, 0, 1, 4, 275.892517, 15.763572, 4528.160156, 38.401, 4.736332, -0.028254, 4.758449,0.022117, 4.728020, -0.030430, 4.840901, 0.112882 
 527640.00, 1, 0, 1, 7, 275.892517, 15.763572, 4533.589844, 46.684, 6.218420, -0.025672, 6.220277,0.001857, 6.214585, -0.005692, 6.436087, 0.084253 
 527700.00, 1, 0, 1, 4, 275.445465, 15.642775, 4588.160156, 38.186, 4.913780, -0.010916, 4.917397,0.003617, 4.963591, 0.046193, 5.009549, 0.045958 
